track_name,track_artist,track_popularity,track_album_name,track_album_release_date,duration_ms
White Mercedes - EDX's Miami Sunset Remix,Charli XCX,56,White Mercedes (EDX's Miami Sunset Remix),2019-10-25,200444
Higher Love,Kygo,87,Higher Love,2019-06-28,228267
Unlove You,Armin van Buuren,62,Unlove You,2019-10-18,150160
bad guy (with Justin Bieber),Billie Eilish,83,bad guy (with Justin Bieber),2019-07-11,194840
Freaking Me Out - Keanu Silva Remix,Ava Max,55,Freaking Me Out (Keanu Silva Remix),2019-11-01,177466
Heaven Can Wait - The Aston Shuffle Remix,Sia,61,Heaven Can Wait (The Aston Shuffle Remix),2019-05-24,218373
When It Comes To You - Benny Benassi & BB Team Remix,Sean Paul,56,When It Comes To You (Remixes),2019-10-25,144073
Gone - The Wild Remix,Charli XCX,57,Gone (The Wild Remix),2019-08-09,193861
American Boy - Brooks Remix,Estelle,56,American Boy (Brooks Remix),2019-06-14,200625
Million Pieces - M-22 Remix,Bastille,53,Million Pieces (M-22 Remix),2019-09-27,166237
joy. (R3HAB Remix),for KING & COUNTRY,56,joy. (R3HAB Remix),2019-01-25,171500
Crash Into Me - Settle Down Steavis Aoki Remix,Steve Aoki,34,Crash Into Me (Settle Down Steavis Aoki Remix),2019-11-12,266719
Old Town Road - Diplo Remix,Lil Nas X,74,Old Town Road (Diplo Remix),2019-04-29,204027
Lovers + Strangers - GATTÜSO Remix,Starley,46,Lovers + Strangers (GATTÜSO Remix),2019-11-15,203968
Promises (with Sam Smith) - David Guetta Remix,Calvin Harris,63,Promises (with Sam Smith) [Remixes],2018-10-19,190417
Flames (with ZAYN) - R3HAB & Skytech VIP Remix,R3HAB,55,Flames (with ZAYN) (R3HAB & Skytech VIP Remix),2019-12-12,237686
What Am I - SONDR Remix,Why Don't We,52,What Am I (SONDR Remix),2019-11-01,180361
Cool Kids,Olympis,67,Cool Kids,2019-11-01,139048
Loco Contigo (with J. Balvin & Tyga) - Cedric Gervais Remix,DJ Snake,63,Loco Contigo (with J. Balvin & Tyga) [Cedric Gervais Remix],2019-08-09,279800
All Star - Breathe Carolina Remix,Smash Mouth,60,All Star (Breathe Carolina Remix),2019-08-23,217043
Trampoline - Dave Audé Remix,SHAED,45,Melt (Deluxe),2019-12-27,230476
Stay (Don't Go Away) [feat. Raye] - Mark Knight Remix,David Guetta,58,Stay (Don't Go Away) [feat. Raye] [Mark Knight Remix],2019-07-11,188640
With You - Dexter Remix,Kaskade,51,With You - The Remixes,2019-09-12,196613
Safety (feat. DJ Snake) - Dark Heart 2am Mix,GASHI,58,Safety (The Dark Heart Remixes) (feat. DJ Snake),2019-11-15,210000
Beautiful (feat. Camila Cabello) - Bazzi vs. EDX's Ibiza Sunrise Remix,Bazzi vs.,56,Beautiful (feat. Camila Cabello) [Bazzi vs. EDX's Ibiza Sunrise Remix],2018-09-28,187869
Talk - Disclosure VIP,Khalid,60,Talk (Disclosure VIP),2019-03-27,273229
Spicy - Majestic Remix,Herve Pagez,48,Spicy (with Diplo & Charli XCX) [Remixes],2019-10-11,255861
Don't Leave Me Lonely (feat. Yebba) - Claptone Remix,Mark Ronson,56,Don't Leave Me Lonely (feat. Yebba) [Claptone Remix],2019-10-04,216714
Treehouse - R3HAB Remix,James Arthur,56,Treehouse (R3HAB Remix),2019-09-13,192653
Hearts Ain't Gonna Lie - Eden Prince Remix,Arlissa,65,"Hearts Ain't Gonna Lie (Remixes, Pt. 1)",2018-02-09,238451
Call You Mine,The Chainsmokers,39,World War Joy,2019-05-31,217653
Post Malone (feat. RANI),Sam Feldt,83,Magnets EP,2019-05-24,174444
Here With Me,Marshmello,83,Here With Me,2019-03-08,156347
Easier - Seeb Remix,5 Seconds of Summer,71,Easier (Seeb Remix),2019-07-12,165767
Sixteen,Ellie Goulding,81,Sixteen,2019-04-12,201072
Never Really Over,Katy Perry,85,Never Really Over,2019-05-31,223523
All You Need To Know (feat. Calle Lehmann),Gryffin,76,All You Need To Know (feat. Calle Lehmann),2019-03-27,238459
I Miss Myself (with HRVY),NOTD,71,I Miss Myself (with HRVY),2019-05-03,191612
South of the Border (feat. Camila Cabello & Cardi B) - Sam Feldt Remix,Ed Sheeran,65,South of the Border (feat. Camila Cabello & Cardi B) [Sam Feldt Remix],2019-10-04,173455
Takeaway (feat. Lennon Stella),The Chainsmokers,67,World War Joy...Takeaway,2019-07-24,209893
All the Time,Zara Larsson,74,All the Time,2019-06-21,228112
What I Like About You (feat. Theresa Rex),Jonas Blue,81,What I Like About You (feat. Theresa Rex),2019-03-22,220396
With You,Kaskade,71,With You,2019-06-14,180840
Body Back (feat. Maia Wright),Gryffin,75,Body Back (feat. Maia Wright),2019-10-18,214634
Not Ok,Kygo,73,Not Ok,2019-05-23,210944
Ruin My Life,Zara Larsson,79,Ruin My Life,2018-10-18,190932
I Wanna Know (feat. Bea Miller),NOTD,74,I Wanna Know (feat. Bea Miller),2018-03-16,197939
Better With You,3LAU,63,Better With You,2019-03-01,192941
"Carry On (from the Original Motion Picture ""POKÉMON Detective Pikachu"")",Kygo,79,"Carry On (from the Original Motion Picture ""POKÉMON Detective Pikachu"")",2019-04-19,215316
Polaroid,Jonas Blue,16,Blue,2018-11-09,193377
Lost In Japan - Remix,Shawn Mendes,75,Lost In Japan (Remix),2018-09-27,201253
In Your Arms (with X Ambassadors),ILLENIUM,75,ASCEND,2019-08-16,220730
I'm Not Alright,Loud Luxury,55,I'm Not Alright,2019-07-12,185062
SOS,Avicii,30,SOS,2019-04-10,157202
Harder,Jax Jones,62,Snacks,2019-07-12,159753
The Middle,Zedd,84,The Middle,2018-01-23,184732
Wanted,NOTD,70,Wanted,2019-09-27,160998
Crash Into Me,Steve Aoki,37,Crash Into Me,2019-07-12,226093
Need Your Love (with Noah Kahan),Gryffin,70,Gravity,2019-10-24,205787
Good Things Fall Apart (with Jon Bellion),ILLENIUM,74,Good Things Fall Apart (with Jon Bellion),2019-05-13,216668
Don't Call Me Up,Mabel,85,Ivy To Roses (Mixtape),2019-01-18,178480
Nostalgic,A R I Z O N A,36,Nostalgic,2019-06-18,182668
Let It Be Me,Steve Aoki,52,Let It Be Me,2019-09-06,224061
Lovers + Strangers,Starley,58,Lovers + Strangers,2019-10-11,178501
Sad Song (feat. TINI),Alesso,72,Sad Song (feat. TINI),2019-06-14,154024
Sleepless Nights,ayokay,64,In the Shape of a Dream,2018-08-31,197880
Save Me Tonight,ARTY,63,Save Me Tonight,2019-01-25,170079
Pretty Girl - Cheat Codes X CADE Remix,Maggie Lindemann,77,Pretty Girl (Cheat Codes X CADE Remix),2017-03-02,193613
No Sleep (feat. Bonn),Martin Garrix,76,No Sleep (feat. Bonn),2019-02-21,207095
Feel Good (feat. Daya),Gryffin,74,Feel Good (feat. Daya),2017-03-03,248156
Endless Summer,Cashae,56,Endless Summer,2019-07-12,202072
Faith (with Dolly Parton) [feat. Mr. Probz],Galantis,77,Faith (with Dolly Parton) [feat. Mr. Probz],2019-10-25,186805
Think About You,Kygo,71,Think About You,2019-02-14,208567
Party For One,Carly Rae Jepsen,64,Dedicated,2019-05-17,184533
Ritual,Tiësto,82,Ritual,2019-05-31,198996
Electricity (with Dua Lipa),Silk City,81,Electricity (with Dua Lipa),2018-09-06,238173
Lie,Shallou,41,Lie,2018-01-25,215446
I Found You (with Calvin Harris),benny blanco,62,FRIENDS KEEP SECRETS,2018-12-07,189165
Now That I Found You,Carly Rae Jepsen,5,Now That I Found You / No Drug Like Me,2019-02-27,200318
All Comes Back To You,R3HAB,72,All Comes Back To You,2019-10-25,160312
Need U,DVBBS,24,Need U,2019-08-16,219521
First Love,Lost Kings,58,First Love,2017-10-13,207428
Something Real,Armin van Buuren,65,Something Real,2019-07-12,179531
TIME,Alesso,64,ALESSO MIXTAPE - PROGRESSO VOLUME 1,2019-03-08,166000
Something About You (with Rudimental),Elderbrook,53,Distinction EP,2019-08-09,203200
Home (feat. Bonn),Martin Garrix,72,Home (feat. Bonn),2019-08-16,239067
Simple (STVW Remix),FANNYPACK,39,Simple (STVW Remix),2019-04-12,147554
Sorry,Joel Corry,75,Sorry,2019-04-05,188640
Spicy (with Diplo & Charli XCX),Herve Pagez,60,Spicy (with Diplo & Charli XCX),2019-05-30,157159
The Upside (feat. Elle King),Lindsey Stirling,18,The Upside (feat. Elle King) / The Upside / Underground,2019-08-02,228502
Stay,Zedd,79,Stay,2017-02-23,210091
Million Voices,Armin van Buuren,60,Balance,2019-10-25,187150
"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,83,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",2018-09-28,212500
Closer (feat. Halsey),The Chainsmokers,85,Closer (feat. Halsey),2016-07-29,244960
Say My Name (feat. Zyra) - RAC Mix,ODESZA,47,Say My Name Remixes,2014-10-13,243091
Clarity,Zedd,74,Clarity,2012-01-01,271427
Solo (feat. Demi Lovato),Clean Bandit,80,Solo (feat. Demi Lovato),2018-05-17,222653
Scared to Be Lonely,Martin Garrix,81,Scared to Be Lonely,2017-01-27,220883
Friends (with BloodPop®),Justin Bieber,76,Friends (with BloodPop®),2017-08-17,189467
RITMO (Bad Boys For Life),The Black Eyed Peas,96,RITMO (Bad Boys For Life),2019-10-12,221714
Promises (with Sam Smith),Calvin Harris,84,Promises (with Sam Smith),2018-08-17,213309
Turn Me On (feat. Vula),Riton,86,Turn Me On (feat. Vula),2019-09-13,208474
Light,San Holo,68,Light,2017-02-10,239853
2U,David Guetta,66,2U,2017-06-09,194907
Something Just Like This,The Chainsmokers,83,Memories...Do Not Open,2017-04-07,247160
One Kiss (with Dua Lipa),Calvin Harris,85,One Kiss (with Dua Lipa),2018-04-06,214847
Heroes (we could be),Alesso,73,Forever,2015-05-26,210013
It Ain’t Me (with Selena Gomez),Kygo,69,It Ain't Me,2017-02-17,220781
Let Me Love You (Until You Learn To Love Yourself),Ne-Yo,69,R.E.D. (Deluxe Edition),2012-01-01,251627
Let Me Love You,DJ Snake,81,Encore,2016-08-05,205947
Roses,The Chainsmokers,73,Roses,2015-06-16,226739
Stay The Night - Featuring Hayley Williams Of Paramore,Zedd,61,Clarity (Deluxe),2012,217347
Latch,Disclosure,19,Settle,2013-01-01,255632
Flames,David Guetta,57,7,2018-09-14,195000
Sorry,Justin Bieber,81,Purpose (Deluxe),2015-11-13,200787
This Is What You Came For,Calvin Harris,79,This Is What You Came For,2016-04-29,222160
Wake Me Up,Avicii,84,True,2013-01-01,247427
In My Mind,Dynoro,84,In My Mind,2018-06-08,184560
Titanium (feat. Sia),David Guetta,66,Nothing but the Beat 2.0,2011-08-26,245040
Where Are Ü Now,Skrillex,8,Purpose (Deluxe),2015-11-13,242520
Firework,Katy Perry,64,Teenage Dream,2010-01-01,227893
Mi Gente (feat. Beyoncé),J Balvin,61,Mi Gente (feat. Beyoncé),2017-09-28,209733
Don't You Worry Child - Radio Edit,Swedish House Mafia,27,Until Now,2012-01-01,213169
"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,74,TROLLS (Original Motion Picture Soundtrack),2016-09-23,237547
Anything Could Happen,Ellie Goulding,57,Halcyon,2012-01-01,286322
Poker Face,Lady Gaga,69,The Fame,2008-01-01,237200
How Deep Is Your Love,Calvin Harris,77,How Deep Is Your Love,2015-07-17,212640
In Your Eyes (feat. Alida),Robin Schulz,74,In Your Eyes (feat. Alida),2020-01-10,208222
Wish You Well (with Sigala),Sigala,5,Get To Know,2019-09-27,206440
With You - LöKii Remix,Kaskade,57,With You - The Remixes,2019-09-12,231480
Dive,Hot Shade,68,Dive,2019-12-20,164490
No Goodbye,Paul Kalkbrenner,65,No Goodbye,2019-07-26,168547
Work,MOTi,58,Work,2019-01-25,155238
Instagram,Dimitri Vegas & Like Mike,81,Instagram,2019-07-05,184558
Better Off Without You (feat. Shift K3Y),Becky Hill,68,Better Off Without You (feat. Shift K3Y),2020-01-10,198743
Butterfly,Molella,43,Butterfly,2019-06-21,159194
All The Love You Got,MOTi,57,All The Love You Got,2019-12-20,165714
Call You Mine - Asketa & Natan Chaim Remix,The Chainsmokers,58,Call You Mine - The Remixes,2019-07-19,183653
Love Is Not Enough,GATTÜSO,58,Love Is Not Enough,2019-12-19,202500
Lose Control,MEDUZA,91,Lose Control,2019-10-11,168387
I Wanna Dance,Jonas Blue,67,I Wanna Dance,2019-07-19,184582
After The Landslide - Club Remix,Matt Simons,42,After The Landslide (Remix),2019-09-19,240000
Midnight Hour with Boys Noize & Ty Dolla $ign,Skrillex,70,Midnight Hour with Boys Noize & Ty Dolla $ign,2019-08-29,198839
Pon de Replay,Ed Marquis,64,Pon de Replay,2017-04-28,257943
So Close,NOTD,79,So Close (feat. Georgia Ku),2018-11-02,190302
Look Into My Eyes,Brando,48,Look Into My Eyes,2020-01-10,154654
Not in Control,Glaceo,53,Not in Control,2019-12-20,179016
BLUE,Tiësto,75,BLUE,2019-12-13,167859
Don't Waste My Time,Kharfi,46,Don't Waste My Time,2019-11-08,154286
Beat Of My Heart,Lost Frequencies,67,Alive And Feeling Fine,2019-10-04,183183
Don't Start Now - Kungs Remix,Dua Lipa,65,Don't Start Now (Kungs Remix),2019-12-18,216256
Drunken Truth,Steve Void,56,The Seed EP,2019-12-20,158091
Jacques,Jax Jones,42,Jacques,2019-08-28,203227
Something Real,Armin van Buuren,58,Balance,2019-10-25,179531
Stay (Don't Go Away) [feat. Raye],David Guetta,74,Stay (Don't Go Away) [feat. Raye],2019-05-09,185943
Solid Gold,PNAU,65,Solid Gold,2019-05-02,208367
One Life,Mike Perry,64,One Life,2019-09-27,204591
All ‘Bout The Money,FAULHABER,51,All ‘Bout The Money,2019-10-18,169964
Never Letting Go,Audien,63,Never Letting Go,2018-11-09,172520
Used To Love (with Dean Lewis),Martin Garrix,83,Used To Love (with Dean Lewis),2019-10-31,236765
Giulia,Prince Paris,55,Giulia,2019-11-29,153231
What Do I Do? - Benny Benassi Remix,Georgia Ku,39,What Do I Do? (Benny Benassi Remix),2019-10-18,167249
Dreams Of You (feat. Rae Morris),Icarus,48,Dreams Of You (feat. Rae Morris),2019-10-04,291785
I Will Let You Down (feat. KLARA),Madison Mars,59,I Will Let You Down (feat. KLARA),2019-12-06,182000
Carillon (with Achille Lauro),Nahaze,64,Carillon (with Achille Lauro),2019-12-11,242385
La Vie - Gabry Ponte Mix,DJ Ross,42,La Vie (Gabry Ponte Mix),2019-11-15,177638
Lullaby,R3HAB,70,Lullaby,2018-01-26,160184
Say It,Phantoms,57,Disconnect,2019-07-19,204693
All This Time,Deorro,21,All This Time,2019-07-12,225160
All You Need To Know (feat. Calle Lehmann),Gryffin,68,Gravity,2019-10-24,238338
Acordeão,Tiësto,63,Acordeão,2019-08-08,131204
My Friend,Yves V,54,My Friend,2019-05-31,170000
On & On,Alok,79,On & On,2019-11-22,147027
Juliet & Romeo,Martin Solveig,72,Juliet & Romeo,2019-12-06,204514
All Around The World (La La La),R3HAB,80,All Around The World (La La La),2019-04-05,147840
Are You Lonely (feat. ISÁK),Steve Aoki,47,Are You Lonely (feat. ISÁK),2019-02-22,157333
No More (feat. Brenda Mullen) - Bottai Edit,Alex Gaudino,19,No More (feat. Brenda Mullen) [Bottai Edit],2019-03-01,200640
Close Your Eyes,Felix Jaehn,79,Close Your Eyes,2019-11-22,160794
Buzzing (with Nevve),Audien,59,Escapism,2019-11-08,225000
Never Be Alone (feat. Aloe Blacc),David Guetta,68,Never Be Alone (feat. Aloe Blacc),2019-07-26,178671
Roses - Imanbek Remix,SAINt JHN,72,Roses (Imanbek Remix),2019-09-13,176219
Insane,Ofenbach,66,Insane,2019-11-15,142230
Daydreams - Sultan + Shepard Echoes Of Life Remix,ARTY,59,Daydreams (Sultan + Shepard Echoes Of Life Remix),2020-01-03,220205
Only Want You - Sam Feldt Remix,Rita Ora,64,Only Want You (Sam Feldt Remix),2019-04-05,179151
Close To Me (with Diplo) (feat. Swae Lee) - Felix Cartal Remix,Ellie Goulding,9,Close To Me (Remixes),2019-02-01,223533
Woke Up Late (feat. Hailee Steinfeld) - Sam Feldt Remix,Drax Project,41,Woke Up Late (Sam Feldt Remix),2019-05-02,196475
South of the Border (feat. Camila Cabello & Cardi B) - Cheat Codes Remix,Ed Sheeran,69,South of the Border (feat. Camila Cabello & Cardi B) [Cheat Codes Remix],2019-09-27,195924
Not Ok - Frank Walker Remix,Kygo,66,Not Ok (Frank Walker Remix),2019-07-05,183934
Heaven (feat. Veronica),Dzeko,68,Heaven (feat. Veronica),2019-01-04,195000
Sixteen - Don Diablo Remix,Ellie Goulding,66,Sixteen (Don Diablo Remix),2019-05-10,193548
Don’t Give Up On Me Now (with Julie Bergan),R3HAB,63,Don’t Give Up On Me Now (with Julie Bergan),2019-05-10,127826
Brave,Don Diablo,68,Brave,2019-04-26,184027
Let It Be Me,Steve Aoki,23,Let It Be Me,2019-09-06,224061
Carry On - Nicky Romero Remix,Kygo,67,Carry On (Nicky Romero Remix),2019-05-30,175312
Magnets (feat. Sophie Simmons),Sam Feldt,62,Magnets (feat. Sophie Simmons),2019-05-10,179016
Don't Give Up On Me,Andy Grammer,9,Don't Give Up On Me (with R3HAB),2019-04-12,190645
Found Love (feat. Lovespeake),MOTi,59,Found Love (feat. Lovespeake),2019-02-15,157024
These Are The Times (feat. JRM),Martin Garrix,71,These Are The Times (feat. JRM),2019-07-18,188656
Wherever You Go,Jonas Blue,21,Blue,2018-11-09,208947
Happy Now,Kygo,81,Happy Now,2018-10-26,211362
Roots,Valerie Broussard,69,Roots,2019-08-16,184564
Talk - Alle Farben Remix,Khalid,56,Talk (Alle Farben Remix),2019-04-04,167990
All The Lies - Toby Romeo Remix / Radio Edit,Alok,56,All The Lies (Remixes),2019-07-19,163000
High Hopes - Don Diablo Remix,Panic! At The Disco,60,High Hopes (Don Diablo Remix),2019-01-11,185714
Summer Air (feat. Trevor Guthrie),Hardwell,40,Summer Air (feat. Trevor Guthrie),2019-05-31,201905
Can We Pretend (feat. Cash Cash) - Sigala Remix,P!nk,57,Can We Pretend (feat. Cash Cash) [Sigala Remix],2019-06-28,183360
Bruises - Steve Void Remix,Lewis Capaldi,70,Bruises EP,2019-09-27,212280
Insomnia - King Arthur Remix,Daya,63,Insomnia (King Arthur Remix),2019-05-17,176098
Don't Worry Bout Me - Rudimental Remix,Zara Larsson,65,Don't Worry Bout Me (Rudimental Remix),2019-04-24,193137
I Miss Myself - R3HAB Remix,NOTD,56,I Miss Myself (R3HAB Remix),2019-06-07,183341
8 Letters - R3HAB Remix,Why Don't We,2,8 Letters (R3HAB Remix),2018-09-28,132233
You Deserve Better - Andrelli Remix,James Arthur,53,You Deserve Better (Andrelli Remix),2018-06-29,196493
Remember (with ZOHARA),Gryffin,11,Remember (with ZOHARA),2018-10-26,221773
REMEDY,Alesso,77,REMEDY,2018-08-31,190295
Leave,Borgeous,56,Leave,2019-01-25,193640
Mama (feat. Ellie Goulding) - Tiësto’s Big Room Remix,Clean Bandit,65,Mama (feat. Ellie Goulding) [Tiësto’s Big Room Remix],2019-03-08,156168
I'm Not Sorry,Hardwell,34,I'm Not Sorry,2019-03-08,186094
Tequila - Robin Schulz Remix,Dan + Shay,54,Tequila (Robin Schulz Remix),2019-03-21,170103
Happier - Frank Walker Remix,Marshmello,51,Happier (Remixes),2018-10-19,196571
Sing It With Me - Embody Remix,JP Cooper,50,Sing It With Me (Embody Remix),2019-06-21,180571
Thursday - Nicky Romero Remix,Jess Glynne,52,Thursday (Nicky Romero Remix),2018-12-07,217804
Better When You're Gone,David Guetta,76,Better When You're Gone,2019-02-08,192402
Wish You Well,Sigala,75,Wish You Well,2019-05-24,205653
Only When It Rains,Frank Walker,52,Only When It Rains,2019-03-29,169000
Mad Love - Blinkie Remix,Mabel,62,Mad Love (Remixes),2019-07-05,200893
Sweet but Psycho - Morgan Page Dance Remix,Ava Max,65,Sweet but Psycho (Remixes),2018-08-16,226875
Better Day (feat. Aloe Blacc),Young Bombs,62,Better Day (feat. Aloe Blacc),2019-11-01,191786
Rescue Me (with BUNT.) - BUNT. Remix,OneRepublic,10,Rescue Me (with BUNT.) [BUNT. Remix],2019-08-02,174545
Discovery,Syn Cole,55,Discovery,2019-05-31,198750
With You - Frank Walker Remix,Tyler Shaw,49,With You (Frank Walker Remix),2019-02-01,206875
2 Hearts (feat. Gia Koka),Sam Feldt,70,2 Hearts (feat. Gia Koka),2020-01-10,186750
Love You Forever,Nicky Romero,61,Love You Forever,2019-06-21,234609
Post Malone (feat. RANI),Sam Feldt,75,Post Malone (feat. RANI) [Joe Stone Remix],2019-08-16,174444
Thorns,Faustix,60,Thorns,2019-03-29,186000
Shotgun (The Wild Remix),George Ezra,63,Shotgun (The Wild Remix),2018-06-15,191650
True Colors (feat. Maya Avedis),XO Cupid,73,True Colors (feat. Maya Avedis),2018-09-21,184020
Crying In The Sun,Faustix,60,Crying In The Sun (Remixes),2018-11-23,195947
Need You,Faustix,62,Need You,2019-07-26,182161
Sweet Dreams (Are Made of This),Winati,67,Sweet Dreams (are Made of This),2019-06-21,176773
Million Lights,Tungevaag & Raaban,61,Million Lights,2019-03-22,186667
Dancing in the Moonlight,Jubël,71,Dancing in the Moonlight,2018-06-22,164010
Heaven,Avicii,80,TIM,2019-06-06,277262
Forever Young,John De Sohn,68,Forever Young,2018-07-27,167912
eoh,Olympis,60,eoh,2019-08-16,155520
Nobody,Martin Jensen,66,Nobody,2019-03-01,211040
All Day And Night,Jax Jones,75,Snacks,2019-07-12,169467
There's No Way (feat. Julia Michaels) - Alle Farben Remix,Lauv,58,There's No Way (remixes),2018-11-01,187301
Whenever (feat. Conor Maynard),Kris Kross Amsterdam,74,Whenever (feat. Conor Maynard),2018-06-22,163636
All For Love,Tungevaag & Raaban,68,All For Love,2018-03-23,180485
Bittersweet Symphony (feat. Emily Roberts),GAMPER & DADONI,72,Bittersweet Symphony (feat. Emily Roberts),2019-03-29,194618
One Touch,Jess Glynne,70,Always in Between (Deluxe),2018-10-12,197876
"fuck, i’m lonely (with Anne-Marie) - Ofenbach Remix",Lauv,58,"fuck, i’m lonely (with Anne-Marie) (Ofenbach Remix)",2019-08-30,178512
Be Your Friend‬‬,Vigiland,67,Be Your Friend,2018-03-02,180820
Happier - Breathe Carolina Remix,Marshmello,62,Happier (Remixes),2018-10-19,158095
Woke Up Late (feat. Hailee Steinfeld) - Sam Feldt Remix,Drax Project,56,Woke Up Late (feat. Hailee Steinfeld) [Sam Feldt Remix],2019-05-02,196475
Just Got Paid,Sigala,65,Brighter Days,2018-09-28,218480
No One - Jonas Blue Remix,Jess Glynne,51,No One (Jonas Blue Remix),2019-03-15,214641
Speechless (feat. Erika Sirola) - MOTi Remix,Robin Schulz,54,Speechless (feat. Erika Sirola) [MOTi Remix],2019-03-22,181875
